date_id,release_date,release_month,release_year
705,2017-04-08,April,2017
706,2014-03-06,March,2014
707,2016-06-03,June,2016
708,2016-06-29,June,2016
709,2016-05-17,May,2016
710,2017-07-06,July,2017
711,2015-06-06,June,2015
712,2015-07-15,July,2015
713,2015-10-20,October,2015
714,2017-02-14,February,2017
715,2015-10-12,October,2015
716,2015-10-26,October,2015
717,2017-07-04,July,2017
718,2015-11-11,November,2015
719,2014-10-02,October,2014
720,2017-07-08,July,2017
721,2016-12-19,December,2016
722,2012-11-26,November,2012
723,2017-11-25,November,2017
724,2015-02-23,February,2015
725,2016-12-01,December,2016
726,2017-02-16,February,2017
727,2015-07-06,July,2015
728,2015-10-27,October,2015
729,2014-06-13,June,2014
730,2016-07-21,July,2016
731,2015-12-21,December,2015
732,2016-10-05,October,2016
733,2016-04-11,April,2016
734,2017-02-18,February,2017
735,2016-03-28,March,2016
736,2016-12-14,December,2016
737,2015-11-16,November,2015
738,2017-07-02,July,2017
739,2016-05-30,May,2016
740,2015-11-02,November,2015
741,2016-04-15,April,2016
742,2015-02-18,February,2015
743,2015-10-05,October,2015
744,2015-10-08,October,2015
745,2016-02-19,February,2016
746,2012-04-09,April,2012
747,2015-01-19,January,2015
748,2016-01-12,January,2016
749,2017-04-29,April,2017
750,2015-12-18,December,2015
751,2015-12-04,December,2015
752,2015-10-07,October,2015
753,2017-07-13,July,2017
754,2017-07-22,July,2017
755,2016-12-12,December,2016
756,2016-11-10,November,2016
757,2016-05-26,May,2016
758,2016-01-27,January,2016
759,2016-01-16,January,2016
760,2016-01-29,January,2016
761,2014-11-12,November,2014
762,2016-11-01,November,2016
763,2015-06-18,June,2015
764,2015-03-31,March,2015
765,2015-06-09,June,2015
766,2016-02-22,February,2016
767,2015-10-04,October,2015
768,2017-07-26,July,2017
769,2017-04-23,April,2017
770,2015-11-09,November,2015
771,2015-06-14,June,2015
772,2016-05-25,May,2016
773,2017-07-05,July,2017
774,2015-11-12,November,2015
775,2017-06-12,June,2017
776,2017-03-19,March,2017
777,2015-10-02,October,2015
778,2015-07-11,July,2015
779,2016-06-14,June,2016
780,2017-03-29,March,2017
781,2015-12-15,December,2015
782,2016-11-09,November,2016
783,2015-10-30,October,2015
784,2014-11-10,November,2014
785,2015-10-13,October,2015
786,2015-11-19,November,2015
787,2016-11-29,November,2016
788,2017-02-06,February,2017
